Sample	input_raw_reads	fastp	bowtie
SRR6028524	19730168	14673555	13733135
SRR6028525	6760307	4990056	4989654
SRR6028526	11508359	7845180	7840605
SRR6028527	13700704	10176690	10155984
SRR6028528	3077704	2329117	2321153
SRR6028529	5607108	3939410	3937630
SRR6028530	7622969	5425757	5425454
SRR6028531	11826822	8449690	8449244
SRR6028532	8665806	5838274	5836459
SRR6028533	10506379	6079645	6078737
SRR6028534	13308914	8800926	8800320
SRR6028535	2624725	1898505	1893049
SRR6028536	9732555	6662166	6657966
SRR6028537	9049275	6723089	6722534
SRR6028538	14328137	11084726	11083517
SRR6028539	9493242	6633656	6621862
SRR6028540	7719318	5336141	5335909
SRR6028541	13946179	9332930	9326889
SRR6028542	18278541	12123100	12120459
SRR6028543	12743951	7964611	7956431
SRR6028544	13762119	9963660	9957695
SRR6028545	10272128	6595936	6595231
SRR6028546	13155988	7894576	7877490
SRR6028547	8175718	6110647	6110030
SRR6028548	7065545	4674808	4673892
SRR6028549	14002429	9494618	9493824
SRR6028550	12583935	9223125	9221963
SRR6028551	4681347	2972772	2971663
SRR6028552	11615293	7863772	7861183
SRR6028553	10679540	7689106	7689025
SRR6028554	8070141	5493885	5492211
SRR6028555	4623081	3474173	3473227
SRR6028556	10396360	7044029	7042808
SRR6028557	10727733	7425205	7424680
SRR6028558	10763156	7097326	7096461
SRR6028559	10048557	7589593	7259816
SRR6028560	8394022	5668284	5667225
SRR6028561	6632478	4937688	4937606
SRR6028562	11796274	8517369	8517051
SRR6028563	14446919	9256163	9255479
SRR6028564	9040405	6952500	6952202
SRR6028565	6777548	4521564	4520584
SRR6028566	12709603	8806974	8806450
SRR6028567	5062057	3233918	3233233
SRR6028568	12767141	8150434	8150161
SRR6028569	9459998	6011344	6001258
SRR6028570	13901680	10043059	10042833
SRR6028571	8191677	5578134	5577998
SRR6028572	10028905	6928720	6924408
SRR6028573	12195126	7741823	7736202
SRR6028574	10330585	7524293	7523419
SRR6028575	11376016	7961553	7412046
SRR6028576	16334998	12476829	12476491
SRR6028577	13679460	10116440	10116312
SRR6028578	10795190	8176202	8175974
SRR6028579	13361665	10034310	10033887
SRR6028580	7721510	5043364	5043158
SRR6028581	1518616	896270	896168
SRR6028582	1194404	751178	750804
SRR6028583	14220990	9837249	9828277
SRR6028584	17918796	13644747	13610515
SRR6028585	9354612	7128333	7125151
SRR6028586	14231301	9621464	9611732
SRR6028587	15217422	10547914	10518795
SRR6028588	15960228	11079785	11070040
SRR6028589	11749468	8630868	8611841
SRR6028590	17185556	12272261	12266030
SRR6028591	10285472	7951771	7951541
SRR6028592	14794878	11458593	11449773
SRR6028593	7547662	5477247	5469252
SRR6028594	12413391	9504710	9503514
SRR6028595	7898375	6033849	6033173
SRR6028596	11394705	8204172	8202778
SRR6028597	18106594	13337724	13322897
SRR6028598	20639096	13317154	13316243
SRR6028599	14952392	9556337	9552308
SRR6028600	13914424	10273632	10271770
SRR6028601	15004245	11403962	11400028
SRR6028602	10046165	7744615	7740295
SRR6028603	11093416	8205505	8204714
SRR6028604	8833193	6684840	6683362
SRR6028605	10487014	8206137	8205191
SRR6028606	16244103	10556190	10555946
SRR6028607	8247688	5759318	5759066
SRR6028608	11647271	8099048	8098398
SRR6028609	14059857	10381956	10381721
SRR6028610	9519625	6534152	6533499
SRR6028611	99774	43092	42968
SRR6028612	22619349	16950721	16947807
SRR6028613	11459855	8334878	8333977
SRR6028614	14566611	10448513	10447411
SRR6028615	10989502	7716335	7716115
SRR6028616	16360495	10938210	10936895
SRR6028617	10078271	6830667	6830258
SRR6028618	16065189	10039467	10036895
SRR6028619	9613655	6573675	6571916
SRR6028620	15384641	11518672	11508223
SRR6028621	6780484	4325704	4324551
SRR6028622	5708066	3665917	3665326
SRR6028623	11467908	8769868	8766842
SRR6028624	9069802	6539423	6538136
SRR6028625	7242922	4714145	4713929
SRR6028626	12647426	9234642	9230891
SRR6028627	11107095	8229818	8228702
SRR6028628	9885727	7533674	7533238
SRR6028629	11497425	8741508	8741188
SRR6028630	10073628	6805319	6804232
SRR6028631	14226709	8992926	8985563
SRR6028632	8765974	6847892	6543400
SRR6028633	10147196	7214410	7211336
SRR6028634	9096453	6249182	6248857
SRR6028635	9856887	6226176	6224504
SRR6028636	11613895	8026562	8026130
