Sample	input_raw_reads	fastp	bowtie
SRR10680860	30851491	30303208	30300789
SRR10680861	25795227	25425338	25253977
SRR10680862	24098230	23645200	23531245
SRR10680863	26781586	26349361	26344579
SRR10680864	23312818	22904031	22901454
SRR10680865	26165423	25803601	25799862
SRR10680866	25279628	24943332	24937172
SRR10680867	26465972	26106108	26101420
SRR10680868	19584808	18835741	18832045
SRR10680869	23560322	22585702	22584198
SRR10680870	22154948	21157712	21143219
SRR10680871	29033199	28473018	28450556
SRR10680872	25985024	25466271	25458017
SRR10680873	27639960	27098797	27087473
