Sample	input_raw_reads	fastp	bowtie
SRR9224258	15173944	13847948	13847941
SRR9224259	4584052	4061772	4061770
SRR9224260	7153717	6246412	6246409
SRR9224261	4353623	3966881	3966880
SRR9224262	8989665	8640023	8640022
SRR9224263	11442626	10989571	10989571
SRR9224264	8508534	7761531	7761529
SRR9224265	7715020	7185599	7185597
SRR9224266	8125740	7605079	7605075
SRR9224267	8392427	7820662	7820662
SRR9224268	8068685	7565389	7565388
SRR9224269	7760722	7192223	7192223
SRR9224270	8587667	7936465	7936456
SRR9224271	8843804	8029031	8029030
SRR9224272	8429032	7762068	7762067
SRR9224273	9461166	8748277	8748275
SRR9224274	5689500	5232753	5232753
SRR9224275	10060637	9245609	9245601
SRR9224276	8685615	7893081	7893081
SRR9224277	9955549	8881018	8881018
SRR9224278	8221982	7392642	7392642
SRR9224279	5733845	5355293	5355290
SRR9224280	6222869	5817599	5817598
SRR9224281	7124718	6010861	6010859
SRR9224282	6615839	6008862	6008862
SRR9224283	9299786	8571639	8571637
SRR9224284	6266180	5220824	5220819
SRR9224285	6274037	5398438	5398435
SRR9224286	9398306	7951964	7951960
SRR9224287	3382760	2787195	2787195
SRR9224288	8048897	7317170	7317166
SRR9224289	8571409	7407601	7407598
SRR9224290	4295010	3779824	3779822
SRR9224291	6792218	6231502	6231494
SRR9224292	8366969	7655403	7655400
SRR9224293	8879245	8121329	8121321
SRR9224294	7578406	7009525	7009522
SRR9224295	8069854	7452627	7452623
SRR9224296	6650960	6196236	6196231
SRR9224297	6852992	6382760	6382727
SRR9224298	5004691	4625025	4625021
SRR9224299	4522157	4117177	4117168
SRR9224300	7829184	7237516	7237516
SRR9224301	2522103	2294678	2294676
SRR9224302	4956059	4098780	4098778
SRR9224303	3493791	3202690	3202687
SRR9224304	3219827	2614837	2614834
SRR9224305	6007029	5276950	5276947
SRR9224306	5452980	4661128	4661126
SRR9224307	6764845	5802546	5802546
SRR9224308	6315321	5163057	5163043
SRR9224309	5040419	4542170	4542170
SRR9224310	5768738	4704855	4704855
SRR9224311	8228360	7466540	7466536
SRR9224312	7643524	6470853	6470851
SRR9224313	16153742	14563416	14563389
SRR9224314	5326453	4937216	4937202
SRR9224315	6399226	5298699	5298693
SRR9224316	8477575	6658609	6658607
SRR9224317	9201833	8374006	8374000
SRR9224318	7571660	6511367	6511367
SRR9224319	6880086	6438679	6438679
SRR9224320	17043076	14876470	14876468
SRR9224321	6739394	6235291	6235286
SRR9224322	2852251	2664448	2664447
SRR9224323	7043125	6489644	6489644
SRR9224324	10056094	9169742	9169742
SRR9224325	5019188	4628424	4628423
SRR9224326	17712223	16074239	16074238
SRR9224327	5702157	5167507	5167507
SRR9224328	9928522	8695320	8695316
SRR9224329	6845896	5601788	5601787
SRR9224330	4658320	4045759	4045754
SRR9224331	7367781	6370096	6370090
SRR9224332	11846960	10527765	10527762
SRR9224333	6281860	5513354	5513354
SRR9224334	6096103	5499996	5499994
SRR9224335	5417184	4488809	4488806
SRR9224336	5447658	4587409	4587407
SRR9224337	3630066	3244224	3244224
SRR9224338	5204119	4658260	4658259
SRR9224339	6322413	5773998	5773998
SRR9224340	5392899	4736303	4736301
SRR9224341	4579458	4103296	4103286
SRR9224342	6170527	5348843	5348838
SRR9224343	10539390	9398223	9398211
