Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR9224114	8629919	8014926	92.87371063390052	8014926	92.87371063390052
SRR9224115	2699395	2419965	89.64842122031048	2419963	89.6483471296346
SRR9224116	11034187	10012046	90.73659889940238	10012031	90.73646295825873
SRR9224117	6870417	5954989	86.6758014833743	5954986	86.67575781790246
SRR9224118	6504410	5761180	88.57344478592216	5761178	88.573414037553
SRR9224119	7242608	6486206	89.55622063212589	6486193	89.55604113877212
SRR9224120	12539019	10621754	84.70960926050117	10621750	84.70957736007897
SRR9224121	12264804	10880131	88.71019055828368	10880129	88.7101742514597
SRR9224122	10031174	8422471	83.96296385647382	8422471	83.96296385647382
SRR9224123	16902681	14984286	88.65035079346288	14984277	88.65029754747191
SRR9224124	20680592	18287991	88.43069386021445	18287983	88.43065517660229
SRR9224125	20719606	18680607	90.159084106136	18680601	90.15905514805638
SRR9224126	16588358	15012249	90.49870397057985	15012248	90.49869794225565
SRR9224127	19833037	18038702	90.95279759726158	18038696	90.95276734470873
SRR9224128	15228250	13783105	90.51010457537801	13783094	90.51003234120796
SRR9224129	34396719	31085589	90.37370395705474	31085583	90.37368651353054
SRR9224130	16633103	14658766	88.1300741058358	14658762	88.1300500574066
SRR9224131	15474781	13650173	88.20915139283716	13650167	88.2091126200752
SRR9224132	23309720	20688116	88.75317249628051	20688107	88.75313388577813
SRR9224133	7248816	6790499	93.67735365334146	6790499	93.67735365334146
SRR9224134	4785258	4343753	90.77364271686082	4343753	90.77364271686082
SRR9224135	7387556	6916899	93.62905675435827	6916883	93.62884017393573
SRR9224136	8334256	7681517	92.1679991591331	7681514	92.16796316311859
SRR9224137	7465254	6970541	93.37312568333242	6970537	93.3730721017664
SRR9224138	9430199	8743529	92.71839332340707	8743528	92.71838271917697
SRR9224139	6321875	5666637	89.63538507167573	5666633	89.63532179930796
SRR9224140	5803788	5389647	92.86429828243209	5389646	92.86428105230584
SRR9224141	7344916	6759684	92.0321484956397	6759495	92.02957528717823
SRR9224142	5960771	5577733	93.57401919986526	5577729	93.57395209445221
SRR9224143	7106603	6597408	92.83490297685124	6597407	92.83488890543062
SRR9224144	11718015	11275437	96.22309751267599	11275425	96.22299510625307
SRR9224145	13782600	12156157	88.19930201848707	12156144	88.199207696661
SRR9224146	5447172	4760921	87.40170128646571	4760907	87.40144427236739
SRR9224147	16929039	15052586	88.91577365968618	15052585	88.91576775267633
SRR9224148	17913978	15786547	88.12418436597387	15786546	88.12417878374083
SRR9224149	17868217	15896940	88.9676905087956	15896940	88.9676905087956
SRR9224150	20394000	18044143	88.47770422673335	18044142	88.4776993233304
SRR9224151	22196528	19497060	87.83833219321508	19497035	87.8382195629875
SRR9224152	18304201	16271086	88.89263180621761	16271078	88.89258810040384
SRR9224153	19704373	17552760	89.08053049949876	17552750	89.08047974934296
SRR9224154	18738671	17096600	91.23699327449636	17096595	91.2369665917076
SRR9224155	19212810	17239329	89.72830627066004	17239326	89.7282906560779
SRR9224156	3367915	3008044	89.3147243917973	3008042	89.31466500787579
SRR9224157	18417414	16414924	89.12719234090083	16414921	89.12717605196909
SRR9224158	19549066	17540995	89.72804634246975	17540993	89.72803611180197
SRR9224159	8571304	7991807	93.23910340830287	7991805	93.23908007463042
SRR9224160	7840939	7232615	92.24169452153626	7232613	92.24166901438718
SRR9224161	6734330	6186253	91.86144724122518	6186248	91.86137299478938
SRR9224162	7765210	7184766	92.52507015264236	7184766	92.52507015264236
SRR9224163	7423454	6927228	93.31542971775673	6927225	93.31538930530182
SRR9224164	9620660	8646485	89.87413545432435	8646480	89.87408348283797
SRR9224165	9549978	8625883	90.32359027423938	8625881	90.32356933178275
SRR9224166	10377102	9549037	92.0202673154798	9549033	92.02022876907252
SRR9224167	15235383	13662099	89.67348572727053	13662096	89.67346603626571
SRR9224168	5044828	4629451	91.7662802378991	4629447	91.76620094877367
SRR9224169	6061586	5657272	93.32989748887502	5657271	93.32988099154248
SRR9224170	21360809	19450589	91.05736117016916	19450585	91.05734244428663
SRR9224171	12231836	9502293	77.68492808438569	9502288	77.68488720744784
SRR9224172	5211984	4741824	90.97925089562823	4741817	90.97911658976697
SRR9224173	10020460	8605987	85.88415102699875	8605983	85.88411110867166
SRR9224174	5851074	5089606	86.985842257336	5089606	86.985842257336
SRR9224175	4901985	4245530	86.60838415458227	4245528	86.60834335478383
